code,name,qrcode,description,creator_id,created_at,updated_at,deleted_at,manufacture_dept_id,start_time,end_time,status_id,order_id,task_id,user_del_id,user_comp_id,description_del,min_prod_quan,total_prod_quan,code_status,name_status
6360757cf37c51667265916,,1667266171-DPSX-6360757cf37c51667265916,"<figure class=""table""><table><tbody><tr><td>_ Rập chóp</td><td colspan=""3"">: Ciele-05-56.5-Alzcap</td></tr><tr><td>_ Rập két</td><td colspan=""3"">: Ciele-05-56.5-Alzcap - Két thẳng</td></tr><tr><td>_ Két mút</td><td colspan=""3"">: Ciele-05-56.5 - Két mút EVA 75C /&nbsp;2.5mm</td></tr><tr><td>_ BTP Đai&nbsp;</td><td colspan=""3"">: Cắt dọc 8.2 cm&nbsp;</td></tr><tr><td>_ BTP Viền trong</td><td colspan=""3"">: Cắt xéo 2.8 cm</td></tr><tr><td>_ BTP Viền két</td><td colspan=""3"">: Cắt xéo 3.6 cm</td></tr><tr><td colspan=""2"">Dùng dao két trên cắt cho cả két trên &amp; két dưới</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure>",150,2022-11-01 08:29:31+00:00,2022-11-02 08:36:40+00:00,2022-11-02 08:36:40+00:00,2,2022-11-01,2022-11-10,1,1943,1,150.0,,test,,,review,Chờ sản xuất
6360769b3230f1667266203,,1667266263-DPSX-6360769b3230f1667266203,"<figure class=""table""><table><tbody><tr><td>_ BTP khóa : Ngắn 7cm*2cm&nbsp; /&nbsp; &nbsp;Dài 19cm*2 cm&nbsp;</td></tr><tr><td>_ Đai may 4 đường, lót 2 lớp giấy 80G, thành phẩm 3.5cm</td></tr><tr><td>_ Bỏ két dưới đi In</td></tr><tr><td>_ Bỏ mặt đi ép logo ép nhiệt (TTD)</td></tr><tr><td>_Bỏ BTP hông trên đem đi đục lỗ laze</td></tr><tr><td>_Bỏ viền kate Black đem in</td></tr></tbody></table></figure>",150,2022-11-01 08:31:03+00:00,2022-11-01 08:35:29+00:00,2022-11-01 08:35:29+00:00,3,2022-11-10,2022-11-12,1,1943,2,,,,,,review,Chờ sản xuất
636077c0a57e61667266496,,1667266528-DPSX-636077c0a57e61667266496,"<p>_ BTP khóa : Ngắn 7cm*2cm&nbsp; /&nbsp; &nbsp;Dài 19cm*2 cm&nbsp;_ Đai may 4 đường, lót 2 lớp giấy 80G, thành phẩm 3.5cm_ Bỏ két dưới đi In_ Bỏ mặt đi ép logo ép nhiệt (TTD)_Bỏ BTP hông trên đem đi đục lỗ laze_Bỏ viền kate Black đem in<img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667266525_image.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&amp;X-Amz-Algorithm=AWS4-HMAC-SHA256&amp;X-Amz-Credential=FFBEMKOEITONT3XVFC86%2F20221101%2Fus-east-1%2Fs3%2Faws4_request&amp;X-Amz-Date=20221101T013525Z&amp;X-Amz-SignedHeaders=host&amp;X-Amz-Expires=600&amp;X-Amz-Signature=c003d95c939e1d9acc64274c94f7a20e905506bd3bfd8b2824e980342dd4d715""></p><figure class=""table""><table><tbody><tr><td>_ BTP khóa : Ngắn 7cm*2cm&nbsp; /&nbsp; &nbsp;Dài 19cm*2 cm&nbsp;</td></tr><tr><td>_ Đai may 4 đường, lót 2 lớp giấy 80G, thành phẩm 3.5cm</td></tr><tr><td>_ Bỏ két dưới đi In</td></tr><tr><td>_ Bỏ mặt đi ép logo ép nhiệt (TTD)</td></tr><tr><td>_Bỏ BTP hông trên đem đi đục lỗ laze</td></tr><tr><td>_Bỏ viền kate Black đem in</td></tr></tbody></table></figure>",150,2022-11-01 08:35:28+00:00,2022-11-01 08:35:42+00:00,2022-11-01 08:35:42+00:00,3,2022-11-10,2022-11-12,1,1943,2,,,,,,review,Chờ sản xuất
636077ea25e7b1667266538,,1667266542-DPSX-636077ea25e7b1667266538,"<p>_ BTP khóa : Ngắn 7cm*2cm&nbsp; /&nbsp; &nbsp;Dài 19cm*2 cm&nbsp;_ Đai may 4 đường, lót 2 lớp giấy 80G, thành phẩm 3.5cm_ Bỏ két dưới đi In_ Bỏ mặt đi ép logo ép nhiệt (TTD)_Bỏ BTP hông trên đem đi đục lỗ laze_Bỏ viền kate Black đem in_ BTP khóa : Ngắn 7cm*2cm&nbsp; /&nbsp; &nbsp;Dài 19cm*2 cm&nbsp;_ Đai may 4 đường, lót 2 lớp giấy 80G, thành phẩm 3.5cm_ Bỏ két dưới đi In_ Bỏ mặt đi ép logo ép nhiệt (TTD)_Bỏ BTP hông trên đem đi đục lỗ laze_Bỏ viền kate Black đem in</p><p>&nbsp;</p><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667266539_image.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&amp;X-Amz-Algorithm=AWS4-HMAC-SHA256&amp;X-Amz-Credential=FFBEMKOEITONT3XVFC86%2F20221101%2Fus-east-1%2Fs3%2Faws4_request&amp;X-Amz-Date=20221101T013540Z&amp;X-Amz-SignedHeaders=host&amp;X-Amz-Expires=600&amp;X-Amz-Signature=4b03dfb8e4f46a006dad54491820c2c7482b91234ee1e393ad0b1623811e2afd""></figure>",150,2022-11-01 08:35:41+00:00,2022-11-02 08:36:47+00:00,2022-11-02 08:36:47+00:00,3,2022-11-10,2022-11-12,1,1943,2,150.0,,test,,,review,Chờ sản xuất
6361c21d8279e1667351069,DYC-CH1-220929-Mountain Air Verbier-Opt01,1667351602-DPSX-6361c21d8279e1667351069,"<figure class=""table""><table><tbody><tr><td>-Rập chóp&nbsp;</td><td>:</td><td>HA-5M-20-58 (Mặt không lỗ bọ )</td></tr><tr><td>&nbsp;</td><td>:</td><td>HA-5M-20-58-03 H,Đ</td></tr><tr><td>-Rập két</td><td>:</td><td>MK 06-7.5 V2</td></tr><tr><td>-Loại két</td><td>:</td><td>MKN 06-7.5-Black</td></tr><tr><td>-Keo&nbsp;</td><td>:</td><td>832 Black ( thêu xong mới ép keo)</td></tr><tr><td>-BTP viền&nbsp;</td><td>:</td><td>cắt xéo 2.8cm</td></tr><tr><td>-BTP đai&nbsp;</td><td>:</td><td>cắt 7.8cm</td></tr><tr><td>-Dây size</td><td>:&nbsp;</td><td>Dây size felt 7mm balck</td></tr><tr><td colspan=""2"">Mặt ép kate black</td><td>&nbsp;</td></tr><tr><td colspan=""3"">Vải da lộn ép lưới màn đen 80G trước khi cắt</td></tr><tr><td colspan=""3"">Bỏ felt black đi cắt laser CG đuôi</td></tr></tbody></table></figure>",366,2022-11-02 08:13:22+00:00,2022-11-02 08:20:19+00:00,2022-11-02 08:20:19+00:00,2,2022-11-07,2022-11-08,1,2126,3,,,,,,review,Chờ sản xuất
6361c5e04c2d31667352032,DYC-CH1-220929-Mountain Air Verbier-Opt01,1667352328-DPSX-6361c5e04c2d31667352032,"<figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667352089_image.png""></figure><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667352126_image.png""></figure>",366,2022-11-02 08:25:28+00:00,2022-11-02 08:30:02+00:00,2022-11-02 08:30:02+00:00,1,2022-11-09,2022-11-10,1,2126,4,,,,,,review,Chờ sản xuất
6361df059db511667358469,DYC-CH1-220921-Le Carrefour- Opt1-v2,1667358781-DPSX-6361df059db511667358469,"<figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667358531_image.png""></figure>",366,2022-11-02 10:13:01+00:00,2022-11-02 10:25:14+00:00,2022-11-02 10:25:14+00:00,2,2022-11-08,2022-11-09,1,2125,7,,,,,,review,Chờ sản xuất
6361e04b855331667358795,DYC-CH1-220921-Le Carrefour- Opt1-v2,1667359064-DPSX-6361e04b855331667358795,"<figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667358829_image.png""></figure><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667358854_image.png""></figure><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667358982_image.png""></figure>",366,2022-11-02 10:17:44+00:00,2022-11-02 10:22:12+00:00,2022-11-02 10:22:12+00:00,1,2022-11-10,2022-11-11,1,2125,8,,,,,,review,Chờ sản xuất
6361e486506391667359878,DYC-CH1-220921-Le Carrefour-Opt04,1667360028-DPSX-6361e486506391667359878,"<figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667359905_image.png""></figure><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667359921_image.png""></figure>",366,2022-11-02 10:33:48+00:00,2022-11-11 08:13:27+00:00,2022-11-11 08:13:27+00:00,1,2022-11-07,2022-11-10,1,2128,11,,,,,,review,Chờ sản xuất
6361e52340a8e1667360035,DYC-CH1-220921-Le Carrefour-Opt04,1667360428-DPSX-6361e52340a8e1667360035,"<p>Bỏ BTP nón len đi thêu Mặt + Đuôi&nbsp;</p><p>&nbsp;</p><figure class=""image""><img src=""https://s3-s3.app.tms-s.vn/ttd/taskImage/_1667360381_image.png""></figure>",366,2022-11-02 10:40:28+00:00,2022-11-11 08:13:40+00:00,2022-11-11 08:13:40+00:00,3,2022-11-09,2022-11-10,1,2128,12,,,,,,review,Chờ sản xuất
